Season,Site,CoreName,CoreNo,DryWeight,CombustWeight
Winter,IMS,LO,3,16.854,16.665
Winter,IMS,HO,1,9.56,9.256
Winter,IMS,HO,2,8.696,8.271
Winter,IMS,HO,3,11.946,11.338
Winter,IMS,MM,1,17.314,17.104
Winter,IMS,MM,2,14.841,14.721
Winter,IMS,MM,3,9.917,9.609
Winter,IMS,Ref,1,16.632,16.284
Winter,IMS,Ref,2,13.81,13.537
Winter,IMS,Ref,3,12.678,12.424
Winter,IMS,LoRef,1,17.273,17.13
Winter,IMS,HiRef,1,13.123,12.973
Spring,IMS,LO,1,39.566,39.093
Spring,IMS,LO,2,42.784,42.612
Spring,IMS,LO,3,29.221,28.975
Spring,IMS,HO,1,39.401,38.764
Spring,IMS,HO,2,23.733,22.765
Spring,IMS,HO,3,36.631,35.899
Spring,IMS,MM,1,28.236,27.884
Spring,IMS,MM,2,31.699,31.435
Spring,IMS,MM,3,28.863,28.638
Spring,IMS,Ref,1,46.719,46.394
Spring,IMS,Ref,2,30.495,30.34
Spring,IMS,Ref,3,32.586,32.429
Spring,IMS,LoRef,1,45.455,45.108
Spring,IMS,HiRef,1,42.568,41.993
Spring,NOAA,LO,1,38.307,37.573
Spring,NOAA,LO,2,24.767,24.294
Spring,NOAA,LO,3,41.027,40.406
Spring,NOAA,HO,1,11.35,10.417
Spring,NOAA,HO,2,11.701,10.867
Spring,NOAA,HO,3,14.652,13.842
Spring,NOAA,LM,1,16.12,15.191
Spring,NOAA,LM,2,12.915,12.307
Spring,NOAA,LM,3,16.972,15.925
Spring,NOAA,MM,1,26.304,25.266
Spring,NOAA,MM,2,17.373,16.281
Spring,NOAA,MM,3,14.727,14.07
Spring,NOAA,HM,1,30.419,30.211
Spring,NOAA,HM,2,29.229,29.038
Spring,NOAA,HM,3,45.383,45.067
Spring,NOAA,Ref,1,40.822,40.303
Spring,NOAA,Ref,2,26.07,25.657
Spring,NOAA,Ref,3,43.027,42.575
Spring,NOAA,LoRef,1,28.42,28.102
Spring,NOAA,HiRef,1,30.616,30.391
Spring,Army,LO,1,33.695,32.994
Spring,Army,LO,2,34.018,33.2
Spring,Army,LO,3,35.737,35.14
Spring,Army,HO,1,23.012,22.055
Spring,Army,HO,2,18.744,17.558
Spring,Army,HO,3,19.049,18.44
Spring,Army,LM,1,18.059,17.447
Spring,Army,LM,2,14.932,13.933
Spring,Army,LM,3,17.559,16.476
Spring,Army,MM,1,23.228,22.583
Spring,Army,MM,2,20.633,20.019
Spring,Army,MM,3,18.566,17.983
Spring,Army,HM,1,14.604,14
Spring,Army,HM,2,13.694,12.999
Spring,Army,HM,3,16.162,15.337
Spring,Army,Ref,1,33.624,33.036
Spring,Army,Ref,2,24.082,23.538
Spring,Army,Ref,3,32.742,31.799
Spring,Army,LoRef,1,17.165,16.61
Spring,Army,HiRef,1,28.692,27.598
Spring,Carrot,LO,1,30.348,30.129
Spring,Carrot,LO,2,30.338,30.118
Spring,Carrot,LO,3,44.989,44.722
Spring,Carrot,HO,1,30.779,30.607
Spring,Carrot,HO,2,43.326,43.028
Spring,Carrot,HO,3,40.647,40.123
Spring,Carrot,LM,1,22.781,22.327
Spring,Carrot,LM,2,29.447,29.263
Spring,Carrot,LM,3,30.048,29.904
Spring,Carrot,MM,1,29.496,29.341
Spring,Carrot,MM,2,22.207,21.57
Spring,Carrot,MM,3,36.682,35.778
Spring,Carrot,HM,1,31.044,30.957
Spring,Carrot,HM,2,32.151,32.055
Spring,Carrot,HM,3,31.035,30.93
Spring,Carrot,Ref,1,28.532,28.349
Spring,Carrot,Ref,2,25.597,25.191
Spring,Carrot,Ref,3,28.996,28.832
Spring,Carrot,LoRef,1,29.535,29.353
Spring,Carrot,HiRef,1,31.079,30.958
Summer15,IMS,LO,1,17.882,17.667
Summer15,IMS,LO,2,8.245,7.838
Summer15,IMS,LO,3,16.005,15.887
Summer15,IMS,HO,1,18.707,18.583
Summer15,IMS,HO,2,15.568,15.361
Summer15,IMS,HO,3,13.921,13.679
Summer15,IMS,MM,1,16.558,16.344
Summer15,IMS,MM,2,18.611,18.345
Summer15,IMS,MM,3,17.633,17.433
Summer15,Carrot,LO,1,23.942,23.641
Summer15,Carrot,LO,2,16.734,16.595
Summer15,Carrot,LO,3,15.983,15.872
Summer15,Carrot,HO,1,13.231,12.879
Summer15,Carrot,HO,2,9.829,9.576
Summer15,Carrot,HO,3,15.418,15.23
Summer15,Carrot,MM,1,12.882,12.691
Summer15,Carrot,MM,2,15.018,14.882
Summer15,Carrot,MM,3,14.421,14.229
Summer15,NOAA,LO,1,14.607,14.135
Summer15,NOAA,LO,2,13.957,13.656
Summer15,NOAA,LO,3,15.417,14.889
Summer15,NOAA,HO,1,11.985,11.389
Summer15,NOAA,HO,2,11.575,11.021
Summer15,NOAA,HO,3,10.839,10.176
Summer15,NOAA,MM,1,7.078,6.543
Summer15,NOAA,MM,2,6.201,5.762
Summer15,NOAA,MM,3,7.287,6.748
Summer15,Army,LO,1,12.009,11.495
Summer15,Army,LO,2,11.898,11.182
Summer15,Army,LO,3,8.298,7.761
Summer15,Army,HO,1,15.037,14.492
Summer15,Army,HO,2,13.209,12.767
Summer15,Army,HO,3,10.585,10.216
Summer15,Army,MM,1,7.005,6.513
Summer15,Army,MM,2,7.95,7.4
Summer15,Army,MM,3,5.645,5.275
