Season,Site,CoreName,CoreNo,flux_NOx,flux_NH3,flux_DIN
Winter,NOAA,MM,2,-1.179007736,91.85602672,90.67701898
Winter,NOAA,MM,3,-1.179007736,-56.55240519,-57.73141292
Winter,NOAA,HM,1,-1.179007736,65.21178398,64.03277625
Winter,NOAA,HM,2,-1.179007736,-80.93188726,-82.11089499
Winter,NOAA,HM,3,-0.05728512,-95.45299952,-95.51028464
Winter,NOAA,Ref,1,2.524542008,33.23869274,35.76323475
Winter,NOAA,Ref,2,1.418805923,-70.27419017,-68.85538424
Winter,NOAA,Ref,3,-1.179007736,-13.92161685,-15.10062459
Winter,NOAA,LoRef,1,-1.179007736,-79.59967511,-80.77868285
Winter,NOAA,HiRef,1,0.952531675,-36.83566557,-35.88313389
Spring,NOAA,LO,1,-3.363835644,91.18992065,87.82608501
Spring,NOAA,LO,2,-3.363835644,-25.24541997,-28.60925562
Spring,NOAA,LO,3,NA,NA,NA
Spring,NOAA,HO,1,-3.363835644,-15.12060774,-18.48444338
Spring,NOAA,HO,2,-3.363835644,-20.44945627,-23.81329191
Spring,NOAA,HO,3,-3.363835644,-9.658537983,-13.02237363
Spring,NOAA,LM,1,-2.377998661,75.20337503,72.82537637
Spring,NOAA,LM,2,-3.363835644,-25.91152603,-29.27536167
Spring,NOAA,LM,3,-3.363835644,-46.2943717,-49.65820734
Spring,NOAA,MM,1,-2.082247565,-47.62658384,-49.70883141
Spring,NOAA,MM,2,-3.363835644,-52.68898995,-56.05282559
Spring,NOAA,MM,3,-3.363835644,-50.42422933,-53.78806497
Spring,NOAA,HM,1,-2.330039035,-9.791759194,-12.12179823
Spring,NOAA,HM,2,-3.363835644,-9.258874332,-12.62270998
Spring,NOAA,HM,3,-3.363835644,7.660219783,4.296384139
Spring,NOAA,Ref,1,-3.363835644,-40.96552315,-44.3293588
Spring,NOAA,Ref,2,-3.363835644,6.727671288,3.363835644
Spring,NOAA,Ref,3,-3.363835644,-50.2910081,-53.65484374
Summer,Army,LO,1,0,-41.80481681,-41.80481681
