"Site","Season","CoreName","CoreNo","flux_Nox","flux_NH3","Age","Habitat"
"NOAA","Spring","HM",1,-2.330039035,-9.791759194,7,"marsh"
"NOAA","Spring","HM",2,-3.363835644,-9.258874332,7,"marsh"
"NOAA","Spring","HM",3,-3.363835644,7.660219783,7,"marsh"
"NOAA","Spring","Ref",1,-3.363835644,-40.96552315,7,"Ref"
"NOAA","Spring","Ref",2,-2.691068508,6.727671288,7,"Ref"
"NOAA","Spring","Ref",3,-3.363835644,-50.2910081,7,"Ref"
"Army","Summer","LO",1,0,-41.80481681,20,"oyster"
"Army","Summer","LO",2,0,82.99681604,20,"oyster"
"Army","Summer","LO",3,0,27.84323364,20,"oyster"
"Army","Summer","HO",1,0,-26.24457905,20,"oyster"
"Army","Summer","HO",2,0,-33.70496701,20,"oyster"
"Army","Summer","HO",3,0,54.88713998,20,"oyster"
"Army","Summer","LM",1,0,61.0153158,20,"marsh"
"Army","Summer","LM",2,1.492077591,0.932548504,20,"marsh"
"Army","Summer","LM",3,0,-32.37275488,20,"marsh"
"Army","Summer","MM",1,0,-27.17712755,20,"marsh"
"Army","Summer","MM",2,0,-25.17880935,20,"marsh"
"Army","Summer","MM",3,0,-27.17712755,20,"marsh"
"Army","Summer","HM",1,0,-34.18456338,20,"marsh"
"Army","Summer","HM",2,0,39.83314286,20,"marsh"
"Army","Summer","HM",3,0,-21.58183658,20,"marsh"
"Army","Summer","Ref",1,0,-19.58351838,20,"Ref"
"Army","Summer","Ref",2,0,-28.37611848,20,"Ref"
"Army","Summer","Ref",3,0,-33.17208217,20,"Ref"
"Army","Fall","LO",1,-1.65860411,1.532043962,20,"oyster"
"Army","Fall","LO",2,-3.576989587,4.196468217,20,"oyster"
"Army","Fall","LO",3,-3.576989587,-7.247234014,20,"oyster"
"Army","Fall","HO",1,-3.576989587,1.665265173,20,"oyster"
"Army","Fall","HO",2,-3.576989587,-9.44538404,20,"oyster"
"Army","Fall","HO",3,-3.576989587,-6.954147339,20,"oyster"
"Army","Fall","LM",1,-3.576989587,-0.066610605,20,"marsh"
"Army","Fall","LM",2,-3.576989587,9.791759185,20,"marsh"
"Army","Fall","LM",3,-3.576989587,1.265601522,20,"marsh"
"Army","Fall","MM",1,-3.576989587,-10.43122102,20,"marsh"
"Army","Fall","MM",2,0.193170753,66.14433252,20,"marsh"
"Army","Fall","MM",3,-3.576989587,-6.661060683,20,"marsh"
"Army","Fall","HM",1,0.579512278,93.5879025,20,"marsh"
"Army","Fall","HM",2,-2.323377963,17.25214714,20,"marsh"
"Army","Fall","HM",3,-0.686089254,26.71085332,20,"marsh"
"Army","Fall","Ref",1,2.351354417,6.86089249,20,"Ref"
"Army","Fall","Ref",2,-2.399314062,9.924980414,20,"Ref"
"Army","Fall","Ref",3,-0.139882284,6.194786436,20,"Ref"
"Army","Winter","LO",1,3.477073674,10.92413959,20,"oyster"
"Army","Winter","LO",2,3.343852445,154.8030501,20,"oyster"
"Army","Winter","LO",3,1.385500606,4.263078859,20,"oyster"
"Army","Winter","HO",1,0.3197309,-132.288665,20,"oyster"
"Army","Winter","HO",2,-2.344693373,-100.448795,20,"oyster"
"Army","Winter","HO",3,-0.759360932,-178.3832049,20,"oyster"
"Army","Winter","LM",1,0.492918491,-158.5332441,20,"marsh"
"Army","Winter","LM",2,2.024962444,22.91404875,20,"marsh"
"Army","Winter","LM",3,0.492918491,17.58520013,20,"marsh"
"Army","Winter","MM",1,-0.719394552,-73.00522499,20,"marsh"
"Army","Winter","MM",2,-0.359697281,13.58856381,20,"marsh"
"Army","Winter","MM",3,-2.464592457,-94.98672521,20,"marsh"
"Army","Winter","HM",1,-3.104054276,-100.3155738,20,"marsh"
"Army","Winter","HM",2,-1.492077601,53.55492781,20,"marsh"
"Army","Winter","HM",3,-0.306408792,-155.4691562,20,"marsh"
