Site,Season,CoreName,CoreNo,flux_Nox,flux_NH3
NOAA,Spring,HO,2,-3.199973557,-20.44945627
NOAA,Spring,HO,3,-2.735031511,-9.658537983
NOAA,Spring,LM,1,-2.377998661,75.20337503
NOAA,Spring,LM,2,-3.288299216,-25.91152603
NOAA,Spring,LM,3,-3.363835644,-46.2943717
NOAA,Spring,MM,1,-2.082247565,-47.62658384
NOAA,Spring,MM,2,-3.363835644,-52.68898995
NOAA,Spring,MM,3,-3.363835644,-50.42422933
NOAA,Spring,HM,1,-2.330039035,-9.791759194
NOAA,Spring,HM,2,-3.363835644,-9.258874332
NOAA,Spring,HM,3,-3.363835644,7.660219783
NOAA,Spring,Ref,1,-3.363835644,-40.96552315
NOAA,Spring,Ref,2,-2.691068508,6.727671288
NOAA,Spring,Ref,3,-3.363835644,-50.2910081
Army,Summer,LO,1,0,-41.80481681
Army,Summer,LO,2,0,82.99681604
Army,Summer,LO,3,0,27.84323364
Army,Summer,HO,1,0,-26.24457905
Army,Summer,HO,2,0,-33.70496701
Army,Summer,HO,3,0,54.88713998
Army,Summer,LM,1,0,61.0153158
Army,Summer,LM,2,1.492077591,0.932548504
Army,Summer,LM,3,0,-32.37275488
Army,Summer,MM,1,0,-27.17712755
Army,Summer,MM,2,0,-25.17880935
Army,Summer,MM,3,0,-27.17712755
Army,Summer,HM,1,0,-34.18456338
Army,Summer,HM,2,0,39.83314286
Army,Summer,HM,3,0,-21.58183658
Army,Summer,Ref,1,0,-19.58351838
Army,Summer,Ref,2,0,-28.37611848
Army,Summer,Ref,3,0,-33.17208217
Army,Fall,LO,1,-1.65860411,1.532043962
Army,Fall,LO,2,-3.576989587,4.196468217
Army,Fall,LO,3,-3.576989587,-7.247234014
Army,Fall,HO,1,-3.576989587,1.665265173
Army,Fall,HO,2,-3.576989587,-9.44538404
Army,Fall,HO,3,-3.576989587,-6.954147339
Army,Fall,LM,1,-3.576989587,-0.066610605
Army,Fall,LM,2,-3.576989587,9.791759185
Army,Fall,LM,3,-3.576989587,1.265601522
Army,Fall,MM,1,-3.576989587,-10.43122102
Army,Fall,MM,2,0.193170753,66.14433252
Army,Fall,MM,3,-3.576989587,-6.661060683
Army,Fall,HM,1,0.579512278,93.5879025
Army,Fall,HM,2,-2.323377963,17.25214714
Army,Fall,HM,3,-0.686089254,26.71085332
Army,Fall,Ref,1,2.351354417,6.86089249
Army,Fall,Ref,2,-2.399314062,9.924980414
Army,Fall,Ref,3,-0.139882284,6.194786436
Army,Winter,LO,1,3.477073674,10.92413959
Army,Winter,LO,2,3.343852445,154.8030501
Army,Winter,LO,3,1.385500606,4.263078859
Army,Winter,HO,1,0.3197309,-132.288665
Army,Winter,HO,2,-2.344693373,-100.448795
