Season,Site,CoreName,CoreNo,TimePt,conc_O2
Summer,Army,HM,2,3,0.22097495
Summer,Army,HM,3,3,1.710000204
Summer,Army,Ref,1,3,4.738033755
Summer,Army,Ref,2,3,4.316206871
Summer,Army,Ref,3,3,4.902940573
Summer,Army,LO,1,4,1.297524508
Summer,Army,LO,2,4,0.473153261
Summer,Army,LO,3,4,0.733456245
Summer,Army,HO,1,4,3.051127796
Summer,Army,HO,2,4,3.083005637
Summer,Army,HO,3,4,4.028481396
Summer,Army,LM,1,4,0.612540386
Summer,Army,LM,2,4,0.35675493
Summer,Army,LM,3,4,0.284239537
Summer,Army,MM,1,4,0.516148712
Summer,Army,MM,2,4,0.210324259
Summer,Army,MM,3,4,1.133926684
Summer,Army,HM,1,4,0.174371555
Summer,Army,HM,2,4,0.240827338
Summer,Army,HM,3,4,0.125496501
Summer,Army,Ref,1,4,4.545719244
Summer,Army,Ref,2,4,3.597166789
Summer,Army,Ref,3,4,3.769316266
Fall,IMS,LO,1,1,5.337130146
Fall,IMS,LO,2,1,3.396811828
Fall,IMS,LO,3,1,4.851821933
Fall,IMS,HO,1,1,3.764036716
Fall,IMS,HO,2,1,4.942868447
Fall,IMS,HO,3,1,4.422605661
Fall,IMS,MM,1,1,4.425207567
Fall,IMS,MM,2,1,5.1972686
Fall,IMS,MM,3,1,4.57719614
Fall,IMS,Ref,1,1,4.650627634
Fall,IMS,Ref,2,1,4.61431042
Fall,IMS,Ref,3,1,4.474872281
Fall,IMS,LoRef,1,1,5.154120147
Fall,IMS,HiRef,1,1,4.263929746
Fall,IMS,LO,1,2,5.522702809
Fall,IMS,LO,2,2,3.769111402
Fall,IMS,LO,3,2,5.179719642
Fall,IMS,HO,1,2,4.739958361
Fall,IMS,HO,2,2,5.174761827
Fall,IMS,HO,3,2,4.677125376
Fall,IMS,MM,1,2,4.872295373
Fall,IMS,MM,2,2,5.374668661
Fall,IMS,MM,3,2,4.598445191
Fall,IMS,Ref,1,2,5.582145066
Fall,IMS,Ref,2,2,4.812654081
Fall,IMS,Ref,3,2,4.771496334
Fall,IMS,LoRef,1,2,5.165549263
Fall,IMS,HiRef,1,2,5.486290293
